Site	Tier	dPAM	type	Replicate	is_target	eff
TNNT2	1	Y	PE3	1	target	3.09
TNNT2	1	Y	PE3	2	target	2.53
TNNT2	1	Y	PE3	3	target	3.81
MYBPC3	1	Y	PE3	1	target	9.38
MYBPC3	1	Y	PE3	2	target	5.57
MYBPC3	1	Y	PE3	3	target	7.20
MC4R	1	N	PE3	1	target	2.87
MC4R	1	N	PE3	2	target	2.29
MC4R	1	N	PE3	3	target	2.34
SCN5A	1	Y	PE3	1	target	0.20
SCN5A	1	Y	PE3	2	target	0.09
SCN5A	1	Y	PE3	3	target	0.07
TTR	3	Y	PE3b	1	target	14.04
TTR	3	Y	PE3b	2	target	9.45
TTR	3	Y	PE3b	3	target	15.53
TTR	4	Y	PE3	1	target	23.38
TTR	4	Y	PE3	2	target	24.24
TTR	4	Y	PE3	3	target	23.79
TTR	1	N	PE3b	1	target	10.84
TTR	1	N	PE3b	2	target	9.56
TTR	1	N	PE3b	3	target	12.86
TTR	2	N	PE3	1	target	14.18
TTR	2	N	PE3	2	target	17.93
TTR	2	N	PE3	3	target	19.02
CFH	2	Y	PE3	1	target	0.84
CFH	2	Y	PE3	2	target	1.02
CFH	2	Y	PE3	3	target	1.17
CFH	1	N	PE3	1	target	0.23
CFH	1	N	PE3	2	target	0.21
CFH	1	N	PE3	3	target	0.39
GATA2	3	Y	PE3b	1	target	19.89
GATA2	3	Y	PE3b	2	target	21.95
GATA2	3	Y	PE3b	3	target	23.58
GATA2	4	Y	PE3	1	target	40.40
GATA2	4	Y	PE3	2	target	35.64
GATA2	4	Y	PE3	3	target	35.37
GATA2	1	N	PE3b	1	target	15.71
GATA2	1	N	PE3b	2	target	14.71
GATA2	1	N	PE3b	3	target	18.64
GATA2	2	N	PE3	1	target	27.49
GATA2	2	N	PE3	2	target	21.83
GATA2	2	N	PE3	3	target	20.70
GLA	1	Y	PE3b	1	target	9.13
GLA	1	Y	PE3b	2	target	8.69
GLA	1	Y	PE3b	3	target	7.95
GLA	2	Y	PE3	1	target	14.71
GLA	2	Y	PE3	2	target	13.33
GLA	2	Y	PE3	3	target	16.01
PTCH1	1	Y	PE3b	1	target	0.59
PTCH1	1	Y	PE3b	2	target	0.48
PTCH1	1	Y	PE3b	3	target	0.42
PTCH1	2	Y	PE3	1	target	1.58
PTCH1	2	Y	PE3	2	target	0.97
PTCH1	2	Y	PE3	3	target	1.05
HMBS	1	N	PE3b	1	target	0.00
HMBS	1	N	PE3b	2	target	0.00
HMBS	1	N	PE3b	3	target	0.00
PKD1	2	Y	PE3	1	target	5.92
PKD1	2	Y	PE3	2	target	5.11
PKD1	2	Y	PE3	3	target	7.41
PKD1	1	N	PE3	1	target	6.60
PKD1	1	N	PE3	2	target	5.37
PKD1	1	N	PE3	3	target	9.17
SERPINA1	1	Y	PE3b	1	target	0.47
SERPINA1	1	Y	PE3b	2	target	0.48
SERPINA1	1	Y	PE3b	3	target	0.29
PAH	1	N	PE3b	1	target	0.02
PAH	1	N	PE3b	2	target	0.00
PAH	1	N	PE3b	3	target	0.01
VWF	1	Y	PE3b	1	target	18.30
VWF	1	Y	PE3b	2	target	24.59
VWF	1	Y	PE3b	3	target	25.47
VWF	2	Y	PE3	1	target	16.58
VWF	2	Y	PE3	2	target	18.15
VWF	2	Y	PE3	3	target	18.29
DMD	1	Y	PE3	1	target	16.63
DMD	1	Y	PE3	2	target	19.04
DMD	1	Y	PE3	3	target	19.25
PSEN1	1	Y	PE3	1	target	43.00
PSEN1	1	Y	PE3	2	target	32.44
PSEN1	1	Y	PE3	3	target	30.47
IDUA	1	Y	PE3b	1	target	36.31
IDUA	1	Y	PE3b	2	target	31.35
IDUA	1	Y	PE3b	3	target	25.90
IDUA	2	Y	PE3	1	target	21.15
IDUA	2	Y	PE3	2	target	19.02
IDUA	2	Y	PE3	3	target	25.62
IDS	1	Y	PE3	1	target	30.83
IDS	1	Y	PE3	2	target	29.72
IDS	1	Y	PE3	3	target	33.53
ATP7B	1	Y	PE3	1	target	0.01
ATP7B	1	Y	PE3	2	target	0.02
ATP7B	1	Y	PE3	3	target	0.01
LDLR	1	N	PE3b	1	target	3.42
LDLR	1	N	PE3b	2	target	3.31
LDLR	1	N	PE3b	3	target	3.75
LDLR	2	N	PE3	1	target	6.33
LDLR	2	N	PE3	2	target	4.65
LDLR	2	N	PE3	3	target	6.27
TNNT2	1	Y	PE3	1	Byproduct	0.35
TNNT2	1	Y	PE3	2	Byproduct	0.59
TNNT2	1	Y	PE3	3	Byproduct	1.10
MYBPC3	1	Y	PE3	1	Byproduct	0.31
MYBPC3	1	Y	PE3	2	Byproduct	0.21
MYBPC3	1	Y	PE3	3	Byproduct	0.28
MC4R	1	N	PE3	1	Byproduct	0.29
MC4R	1	N	PE3	2	Byproduct	0.84
MC4R	1	N	PE3	3	Byproduct	0.22
SCN5A	1	Y	PE3	1	Byproduct	0.12
SCN5A	1	Y	PE3	2	Byproduct	0.04
SCN5A	1	Y	PE3	3	Byproduct	0.03
TTR	3	Y	PE3b	1	Byproduct	0.35
TTR	3	Y	PE3b	2	Byproduct	0.19
TTR	3	Y	PE3b	3	Byproduct	0.34
TTR	4	Y	PE3	1	Byproduct	0.29
TTR	4	Y	PE3	2	Byproduct	0.22
TTR	4	Y	PE3	3	Byproduct	0.26
TTR	1	N	PE3b	1	Byproduct	0.78
TTR	1	N	PE3b	2	Byproduct	0.79
TTR	1	N	PE3b	3	Byproduct	1.05
TTR	2	N	PE3	1	Byproduct	0.34
TTR	2	N	PE3	2	Byproduct	0.31
TTR	2	N	PE3	3	Byproduct	0.21
CFH	2	Y	PE3	1	Byproduct	0.10
CFH	2	Y	PE3	2	Byproduct	0.11
CFH	2	Y	PE3	3	Byproduct	0.07
CFH	1	N	PE3	1	Byproduct	2.90
CFH	1	N	PE3	2	Byproduct	2.99
CFH	1	N	PE3	3	Byproduct	2.64
GATA2	3	Y	PE3b	1	Byproduct	0.53
GATA2	3	Y	PE3b	2	Byproduct	0.83
GATA2	3	Y	PE3b	3	Byproduct	0.86
GATA2	4	Y	PE3	1	Byproduct	1.52
GATA2	4	Y	PE3	2	Byproduct	1.97
GATA2	4	Y	PE3	3	Byproduct	1.98
GATA2	1	N	PE3b	1	Byproduct	0.66
GATA2	1	N	PE3b	2	Byproduct	0.93
GATA2	1	N	PE3b	3	Byproduct	0.85
GATA2	2	N	PE3	1	Byproduct	1.56
GATA2	2	N	PE3	2	Byproduct	1.33
GATA2	2	N	PE3	3	Byproduct	1.01
GLA	1	Y	PE3b	1	Byproduct	0.18
GLA	1	Y	PE3b	2	Byproduct	0.30
GLA	1	Y	PE3b	3	Byproduct	0.24
GLA	2	Y	PE3	1	Byproduct	0.18
GLA	2	Y	PE3	2	Byproduct	0.16
GLA	2	Y	PE3	3	Byproduct	0.16
PTCH1	1	Y	PE3b	1	Byproduct	0.06
PTCH1	1	Y	PE3b	2	Byproduct	0.10
PTCH1	1	Y	PE3b	3	Byproduct	0.05
PTCH1	2	Y	PE3	1	Byproduct	0.18
PTCH1	2	Y	PE3	2	Byproduct	0.08
PTCH1	2	Y	PE3	3	Byproduct	0.14
HMBS	1	N	PE3b	1	Byproduct	0.04
HMBS	1	N	PE3b	2	Byproduct	0.05
HMBS	1	N	PE3b	3	Byproduct	0.03
PKD1	2	Y	PE3	1	Byproduct	0.25
PKD1	2	Y	PE3	2	Byproduct	0.33
PKD1	2	Y	PE3	3	Byproduct	0.36
PKD1	1	N	PE3	1	Byproduct	0.29
PKD1	1	N	PE3	2	Byproduct	0.51
PKD1	1	N	PE3	3	Byproduct	0.34
SERPINA1	1	Y	PE3b	1	Byproduct	0.09
SERPINA1	1	Y	PE3b	2	Byproduct	0.21
SERPINA1	1	Y	PE3b	3	Byproduct	0.12
PAH	1	N	PE3b	1	Byproduct	0.04
PAH	1	N	PE3b	2	Byproduct	0.04
PAH	1	N	PE3b	3	Byproduct	0.05
VWF	1	Y	PE3b	1	Byproduct	2.17
VWF	1	Y	PE3b	2	Byproduct	3.39
VWF	1	Y	PE3b	3	Byproduct	3.22
VWF	2	Y	PE3	1	Byproduct	3.94
VWF	2	Y	PE3	2	Byproduct	4.38
VWF	2	Y	PE3	3	Byproduct	5.74
DMD	1	Y	PE3	1	Byproduct	8.82
DMD	1	Y	PE3	2	Byproduct	2.21
DMD	1	Y	PE3	3	Byproduct	7.48
PSEN1	1	Y	PE3	1	Byproduct	0.46
PSEN1	1	Y	PE3	2	Byproduct	0.66
PSEN1	1	Y	PE3	3	Byproduct	0.48
IDUA	1	Y	PE3b	1	Byproduct	1.36
IDUA	1	Y	PE3b	2	Byproduct	1.30
IDUA	1	Y	PE3b	3	Byproduct	1.32
IDUA	2	Y	PE3	1	Byproduct	2.02
IDUA	2	Y	PE3	2	Byproduct	1.87
IDUA	2	Y	PE3	3	Byproduct	1.02
IDS	1	Y	PE3	1	Byproduct	0.36
IDS	1	Y	PE3	2	Byproduct	0.38
IDS	1	Y	PE3	3	Byproduct	0.33
ATP7B	1	Y	PE3	1	Byproduct	0.24
ATP7B	1	Y	PE3	2	Byproduct	0.35
ATP7B	1	Y	PE3	3	Byproduct	0.13
LDLR	1	N	PE3b	1	Byproduct	0.83
LDLR	1	N	PE3b	2	Byproduct	0.97
LDLR	1	N	PE3b	3	Byproduct	0.90
LDLR	2	N	PE3	1	Byproduct	0.55
LDLR	2	N	PE3	2	Byproduct	0.89
LDLR	2	N	PE3	3	Byproduct	0.50

